delta_rating,map_id,delta_map_wr_windowed,map_missing_flag,LAN_flag,h2h_shrunk,h2h_count
-14,0,-0.39,0,1,0,2
-1,1,0.2,0,0,0,0
-107,4,0.8,0,1,3,3
77,1,-0.43,0,1,0,0
2,3,0,1,1,1,1
68,2,-0.33,0,0,0,0
-36,4,0.5,0,0,1,1
-19,3,-0.11,0,0,0,2
-20,0,0.0,0,1,0,0
59,2,-0.17,0,1,1,1
-53,1,0,1,0,0,0
33,4,-1.0,0,1,0,0
-29,2,-0.5,0,0,0,0
-44,2,-0.5,0,0,1,1
-60,0,0.5,0,0,1,1
-55,1,-0.67,0,0,0,0
-31,7,0.0,0,1,0,0
11,6,0.6,0,1,0,2
7,4,-0.06,0,0,-2,4
11,4,0.0,0,0,0,0
12,6,-0.29,0,0,0,4
-125,1,0.17,0,1,1,1
64,2,0,1,1,-1,1
100,0,0,1,1,0,0
-90,4,0.5,0,0,0,2
7,1,0.5,0,0,0,0
68,4,-0.67,0,1,0,0
-25,4,0,1,0,0,2
94,5,0,1,1,0,0
-92,6,0.0,0,0,1,1
18,3,0.25,0,0,1,1
-8,5,-0.5,0,0,-1,1
-2,3,-0.5,0,1,0,0
54,6,-1.0,0,1,0,2
-4,6,0.46,0,1,1,3
-18,4,-0.33,0,0,0,0
-144,3,0.0,0,0,1,1
-107,1,0.25,0,1,2,2
-104,4,0.67,0,1,1,1
72,1,-1.0,0,1,0,2
4,4,-0.2,0,1,4,6
-9,1,0.55,0,0,2,4
-137,2,0.0,0,0,1,1
-123,3,0,1,0,0,0
-13,3,0.15,0,0,1,1
-87,1,0.25,0,0,0,0
83,2,1.0,0,1,0,0
132,3,-0.57,0,1,0,2
-203,3,0.67,0,1,3,3
-102,4,-0.33,0,0,1,1
55,4,0.29,0,1,0,0
-14,4,0.8,0,0,-1,1
-137,3,0.33,0,0,0,0
-10,6,-0.75,0,0,-1,1
-85,0,0.5,0,0,1,1
2,7,0,1,1,-1,1
-76,0,1.0,0,0,4,4
-123,6,0.67,0,0,1,1
17,3,0,1,1,0,0
138,0,1.0,0,1,-1,1
-16,1,1.0,0,0,0,0
29,1,0,1,0,0,0
-8,7,0,1,1,0,0
11,0,0.17,0,0,0,0
-48,7,0,1,1,-1,1
-73,1,0.75,0,1,1,1
38,1,-0.67,0,0,0,2
14,3,-0.47,0,0,1,1
16,2,-0.67,0,1,1,1
53,6,0.17,0,0,0,0
13,4,0.0,0,1,0,2
-127,6,0.75,0,0,-1,1
-78,6,0.0,0,0,0,0
22,5,0.67,0,1,0,0
-43,1,0.0,0,1,-1,1
8,0,0.4,0,1,-1,1
87,1,1.0,0,0,0,0
9,4,0.0,0,1,0,0
-117,3,0.67,0,0,1,1
100,2,0.67,0,0,-1,1
-23,0,-0.3,0,0,0,0
-51,5,1.0,0,0,0,0
-11,4,-0.05,0,0,1,1
6,6,0.6,0,0,-1,1
-62,2,-0.2,0,0,1,1
1,6,1.0,0,1,-1,1
-45,4,0.5,0,1,-1,1
18,6,-0.33,0,1,0,0
53,6,-1.0,0,1,1,1
-76,3,0.0,0,0,3,3
-51,0,-0.3,0,0,1,1
12,5,0.5,0,0,0,0
4,0,0.42,0,1,-1,1
9,5,0.83,0,0,-6,14
12,0,-0.2,0,1,1,1
-27,6,-0.13,0,0,0,0
